timestamp,open,high,low,close
2026-06-02,1.1627,1.1655,1.1613,1.1631
2026-06-01,1.1655,1.1665,1.1606,1.163
2026-05-29,1.165,1.1685,1.1622,1.1659
2026-05-28,1.1624,1.166,1.1584,1.1651
2026-05-27,1.1628,1.166,1.1621,1.1624
2026-05-26,1.164,1.1645,1.1615,1.1628
2026-05-25,1.1629,1.1653,1.1628,1.1643
2026-05-22,1.1618,1.1622,1.1587,1.1602
2026-05-21,1.1625,1.1635,1.1575,1.1618
2026-05-20,1.1601,1.1644,1.1582,1.1627
2026-05-19,1.1655,1.1661,1.1591,1.1604
2026-05-18,1.1624,1.166,1.1607,1.1655
2026-05-15,1.167,1.1673,1.1616,1.1625
2026-05-14,1.171,1.1721,1.1665,1.1668
2026-05-13,1.1735,1.1741,1.1695,1.171
2026-05-12,1.1779,1.1787,1.1721,1.1737
2026-05-11,1.1777,1.179,1.1746,1.1782
2026-05-08,1.1724,1.1787,1.172,1.1784
2026-05-07,1.1749,1.1778,1.1721,1.1725
2026-05-06,1.1691,1.1796,1.1689,1.1747
2026-05-05,1.1695,1.1713,1.1675,1.1692
2026-05-04,1.1733,1.1756,1.168,1.169
2026-05-01,1.1731,1.1785,1.1714,1.172
2026-04-30,1.167,1.1741,1.1654,1.173
2026-04-29,1.171,1.172,1.166,1.1677
2026-04-28,1.1723,1.1726,1.1676,1.1711
2026-04-27,1.1698,1.1754,1.1687,1.172
2026-04-24,1.1682,1.1723,1.1671,1.172
2026-04-23,1.1704,1.1716,1.1668,1.1683
2026-04-22,1.1743,1.1762,1.1702,1.1703
2026-04-21,1.1787,1.1791,1.1718,1.1742
2026-04-20,1.1758,1.179,1.1726,1.1787
2026-04-17,1.1775,1.1848,1.176,1.1762
2026-04-16,1.1799,1.1823,1.1766,1.1781
2026-04-15,1.1796,1.1807,1.1771,1.1798
2026-04-14,1.1756,1.1811,1.1752,1.1795
2026-04-13,1.1661,1.1765,1.1661,1.1757
2026-04-10,1.1697,1.1739,1.1676,1.1719
2026-04-09,1.1662,1.1723,1.1649,1.1699
2026-04-08,1.1592,1.1721,1.1585,1.1662
2026-04-07,1.154,1.1605,1.1522,1.1594
2026-04-06,1.1516,1.1571,1.1504,1.1541
2026-04-03,1.1537,1.1549,1.1512,1.1515
2026-04-02,1.1588,1.1605,1.1508,1.1537
2026-04-01,1.1552,1.1627,1.1548,1.1588
2026-03-31,1.1468,1.1563,1.1446,1.1552
2026-03-30,1.1511,1.1521,1.1442,1.1465
2026-03-27,1.1527,1.1547,1.1501,1.1508
2026-03-26,1.1558,1.1572,1.1519,1.1526
2026-03-25,1.1606,1.163,1.1554,1.1558
2026-03-24,1.1613,1.1628,1.1555,1.1607
2026-03-23,1.154,1.1639,1.1483,1.1612
2026-03-20,1.1588,1.1595,1.1524,1.157
2026-03-19,1.1451,1.1616,1.1442,1.1588
2026-03-18,1.1539,1.1555,1.1448,1.145
2026-03-17,1.1505,1.1547,1.1465,1.1538
2026-03-16,1.1412,1.1524,1.141,1.1503
2026-03-13,1.151,1.1529,1.141,1.1416
